"title_name","title_url","title_description","title_start_time","title_end_time"
"BARMO Pro Bono Program","https://jhu.campusgroups.com/rsvp?id=1393731","Details
BARMO was established in 2019 as a student organization at JHU Carey Business School. Our mission is to establish professional relationships with employers, professionals, and alumni to provide resources for Carey students interested in a critical thinking career.
We are here to connect you with student members who can help you solve data, technology, and finance-related problems in your organization. Help will be provided in a short-term, minimum 1 week to maximum 8 weeks, pro bono project format. Contact us today to collaboratively harness data insights and lead through uncertainty!
File Attachments: BARMO_Pro_Bono_Service_Flyer
Copy Link","Thu, Nov 4, 2021 1:00 PM –","Thu, May 1, 2025 1:00 PM"
"Ballet for EveryBody Classes: Spring 2023 (all classes)","https://jhu.campusgroups.com/rsvp?id=1926181","Details
Ballet for EveryBody classes are Tuesdays and Thursdays 3:30-5pm, starting Jan. 24. Students may attend one or both days each week. Classes are for the full semester and free of charge. They are in-person and will be in the AMR I Multi-Purpose Room (near the Freshman Quad). Dance class capacity is appx. 25 people. Classes are for students only. They are not open to faculty, staff or non-JHU affiliates.
Ballet for EveryBody approaches ballet as an immersive mind/body practice. Accept yourself as you are while striving toward greater ease, efficiency, and expansiveness of movement. Enjoy the beauty of ballet as you experience mental and physical flow and musical expressiveness within the community of a supportive mixed-level class. This is an inclusive class. Humans of different abilities and levels of experience are all welcome.
Ballet dance attire
All close-fitting, flexible clothing is acceptable as long as the line of the body is discernible. This includes clothing such as yoga pants, leggings, and close-fitting t-shirts.
If you will be dancing on a wooden floor, it is recommended that you wear ballet slippers or dance in bare feet. If you will be dancing on a carpet, try wearing textured socks instead of ballet slippers. Ballet slippers can be ordered from several online sources, including Discount Dance Supplies.
Copy Link","Tue, Jan 24, 2023 3:30 PM –","Thu, Apr 27, 2023 5:00 PM"
"JOSH Tuesday Practice","https://jhu.campusgroups.com/rsvp?id=1905469","Details
Josh practice on Tuesday from 10-11:30 in Rec Center A
Copy Link","Tue, Jan 24, 2023 10:00 PM –","Tue, May 2, 2023 11:30 PM"
"Modern Dance Classes: Spring 2023 (all classes)","https://jhu.campusgroups.com/rsvp?id=1926180","Details
Modern Dance classes are Wednesdays 4-5:30pm and Fridays 3:30-5pm, starting Jan. 25. Students may attend one or both days. Classes are for the full semester and free of charge. They are in-person and will be in the AMR I Multi-Purpose Room (near the Freshman Quad). Dance class capacity is appx. 25 people. Classes are for students only. They are not open to faculty, staff or non-JHU affiliates.
Contemporary modern dance will be explored in rigorous movement sessions emphasizing technical skills and creative expression. The technical component will focus on alignment, breathing, balance, coordination, flexibility, strength, endurance, patterning, conditioning and agility. The creative component will focus on movement experimentation, individual expression, translating ideas into movement, and performance artistry.
Modern Dance Attire: Attire should be close-fitting yet allow a wide range of movement, no shoes, and jewelry not recommended. Long hair should be tied back and out of the way. Proper attire can include:
Stretch capris and camisoles-leggings-biker shorts-leotards and tights without feet-or a unitard, exercise pants, or shorts and t-shirts or tanks.
Copy Link","Wed, Jan 25, 2023 4:00 PM –","Fri, Apr 28, 2023 5:00 PM"
"AllNighters Thursday Weekday Rehearsals","https://jhu.campusgroups.com/rsvp?id=1928429","Details
Weekday rehearsals for the JHU AllNighters culminating in an end-of-the-semester concert
Copy Link","Thu, Jan 26, 2023 8:00 PM –","Thu, Apr 27, 2023 10:00 PM"
"Aarti","https://jhu.campusgroups.com/rsvp?id=1929166","Details
Students gather to sing bhajans and aarti, meditate, and chant mantras.
Copy Link","Sun, Feb 5, 2023 11:00 AM –","Sun, Apr 30, 2023 12:30 PM"
"Life Design Lab: Designing Your Futures","https://jhu.campusgroups.com/rsvp?id=1930076","Details
The Life Design Lab is thrilled to kick-off the Designing Your Futures (DYF) Spring 2024 Workshop Series for undergraduate and AAP students. The DYF workshops offer a platform for students to reflect, explore, and take action, linking your diverse Hopkins experiences with your professional aspirations. Please take a look at the list of interconnected workshops according to category below. Workshop dates will be announced ongoingly, so please click the link below to learn more and stay tuned for more information!
https://imagine.jhu.edu/blog/2023/02/01/ldl-designing-your-futures-spring-2023-workshop-series-kickoff/
Copy Link","Mon, Feb 6, 2023 12:00 AM –","Fri, Apr 28, 2023 12:00 AM"
"Workshop Night","https://jhu.campusgroups.com/rsvp?id=1927698","Details
During these meetings, members will submit their work and have other members read it and give feedback.
Copy Link","Mon, Feb 6, 2023 7:00 PM –","Mon, May 8, 2023 8:00 PM"
"AllNighters Tuesday Weekday Rehearsals","https://jhu.campusgroups.com/rsvp?id=1928936","Details
Weekend rehearsals for the JHU AllNighters culminating in an end-of-the-semester concert
Copy Link","Tue, Feb 7, 2023 8:00 PM –","Tue, Apr 25, 2023 10:00 PM"
"FSAmily Fundraiser :)","https://jhu.campusgroups.com/rsvp?id=1929972","Details
FSA fundraiser! Super super fun and to support our amazing org <3
Copy Link","Wed, Feb 8, 2023 12:00 PM –","Fri, May 12, 2023 11:55 PM"
"UAEM GBM","https://jhu.campusgroups.com/rsvp?id=1928466","","",""
